sid,name,dob,email,major,year,gpa
S040,Student 40,2005-04-10,student40@example.com,AI,2022,5.83
S041,Student 41,2006-10-28,student41@example.com,DS,2020,7.38
S042,Student 42,2004-09-28,student42@example.com,CS,2023,5.32
S043,Student 43,2009-04-20,student43@example.com,AI,2022,7.14
S044,Student 44,2000-03-10,student44@example.com,SE,2019,6.04
S045,Student 45,2003-03-25,student45@example.com,IT,2020,6.01
S046,Student 46,2001-05-01,student46@example.com,IT,2020,8.22
S047,Student 47,2004-06-14,student47@example.com,DS,2020,6.35
S048,Student 48,2004-01-23,student48@example.com,CS,2021,9.75
S049,Student 49,2000-11-07,student49@example.com,CS,2022,9.83
S050,Student 50,2005-02-20,student50@example.com,DS,2021,6.33
S051,Student 51,2003-01-17,student51@example.com,AI,2023,6.57
S052,Student 52,2006-07-14,student52@example.com,AI,2020,9.8
S053,Student 53,2004-10-11,student53@example.com,AI,2021,9.86
S054,Student 54,2004-07-15,student54@example.com,IT,2021,7.66
S055,Student 55,2002-09-28,student55@example.com,IT,2022,7.39
S056,Student 56,2002-11-02,student56@example.com,DS,2023,6.87
S057,Student 57,2006-03-22,student57@example.com,SE,2023,8.58
S058,Student 58,2005-07-03,student58@example.com,SE,2022,6.49
S059,Student 59,2004-11-19,student59@example.com,IT,2020,9.96
S060,Student 60,2006-06-21,student60@example.com,AI,2023,8.56
S061,Student 61,2008-06-14,student61@example.com,AI,2019,7.14
S062,Student 62,2002-12-18,student62@example.com,IT,2022,7.11
S063,Student 63,2008-05-03,student63@example.com,CS,2020,5.58
S064,Student 64,2006-07-23,student64@example.com,DS,2021,7.64
S065,Student 65,2004-05-19,student65@example.com,SE,2024,8.42
S066,Student 66,2004-01-17,student66@example.com,CS,2021,9.81
S067,Student 67,2009-09-12,student67@example.com,AI,2020,5.46
S068,Student 68,2001-04-08,student68@example.com,IT,2020,7.01
S069,Student 69,2003-07-17,student69@example.com,SE,2024,8.38
S070,Student 70,2002-08-13,student70@example.com,SE,2024,7.44
S071,Student 71,2002-02-06,student71@example.com,SE,2019,6.31
S072,Student 72,2003-07-19,student72@example.com,IT,2019,6.64
S073,Student 73,2005-08-15,student73@example.com,AI,2021,7.86
S074,Student 74,2007-06-18,student74@example.com,AI,2024,8.18
S075,Student 75,2000-05-16,student75@example.com,DS,2023,8.15
S076,Student 76,2009-02-05,student76@example.com,DS,2024,7.5
S077,Student 77,2001-08-20,student77@example.com,AI,2024,9.22
S078,Student 78,2002-04-10,student78@example.com,DS,2020,8.47
S079,Student 79,2005-06-21,student79@example.com,AI,2020,8.83
S080,Student 80,2009-01-12,student80@example.com,DS,2024,7.78
S081,Student 81,2007-02-22,student81@example.com,CS,2022,7.42
S082,Student 82,2007-12-02,student82@example.com,SE,2021,6.8
S083,Student 83,2003-01-24,student83@example.com,DS,2020,5.65
S084,Student 84,2001-09-11,student84@example.com,AI,2024,5.02
S085,Student 85,2008-10-14,student85@example.com,SE,2019,5.06
S086,Student 86,2000-07-03,student86@example.com,SE,2024,9.26
S087,Student 87,2000-01-27,student87@example.com,DS,2021,6.76
S088,Student 88,2004-12-07,student88@example.com,SE,2020,7.34
S089,Student 89,2002-06-23,student89@example.com,AI,2019,7.69
S090,Student 90,2002-03-12,student90@example.com,CS,2019,6.38
S091,Student 91,2002-05-28,student91@example.com,DS,2021,5.07
S092,Student 92,2004-08-21,student92@example.com,DS,2023,9.24
S093,Student 93,2003-05-22,student93@example.com,SE,2019,7.37
S094,Student 94,2007-12-14,student94@example.com,IT,2024,5.63
S095,Student 95,2005-05-06,student95@example.com,IT,2023,5.19
S096,Student 96,2000-11-22,student96@example.com,SE,2024,6.26
S097,Student 97,2001-05-08,student97@example.com,SE,2020,6.18
S098,Student 98,2004-06-22,student98@example.com,AI,2022,9.53
S099,Student 99,2000-07-25,student99@example.com,CS,2022,9.09
S100,Student 100,2000-02-16,student100@example.com,CS,2024,5.33
